 Block length                 Mean                  Sigma
   1.00000000000000        5.19141834004096       9.265097788687311E-002
   2.00000000000000        5.19141834004096       0.131093327717099     
   4.00000000000000        5.20177865502331       0.185783517361727     
   8.00000000000000        5.20171995812414       0.263249354714160     
   16.0000000000000        5.20163620675154       0.373745606670304     
   32.0000000000000        5.20141061163478       0.532609053561491     
   64.0000000000000        5.35597856285168       0.772839592104757     
   128.000000000000        5.33923319058344        1.11492714679237     
   256.000000000000        5.31505135591160        1.64211840999719     
   512.000000000000        5.27752908806936        2.50734236906219     
