 Block length                 Mean                  Sigma
   1.00000000000000        1.85502358429996       4.477108607134857E-003
   2.00000000000000        1.85502358429996       4.624038458559370E-003
   4.00000000000000        1.85492703345471       4.524101509206574E-003
   8.00000000000000        1.85507107289033       4.656905854251668E-003
   16.0000000000000        1.85500602804502       4.706984746737915E-003
   32.0000000000000        1.85501189573802       4.264287440644926E-003
   64.0000000000000        1.85483108829553       4.377279813293979E-003
   128.000000000000        1.85430786771438       5.604272361603957E-003
   256.000000000000        1.85474329637657       5.009552737949824E-003
   512.000000000000        1.85502237005720       3.535589219028079E-005
