 Block length         Mean              Average
           1   345.53808394263802       0.82672719896887770     
           2   345.53808394263814       0.85636716135804125     
           4   345.54654994432781       0.85324233172261166     
           8   345.52663639228382       0.86777508098366452     
          16   345.51432951217055       0.92094392084213017     
          32   345.52652806366194       0.80339856328862036     
          64   345.34777306074585       0.89134448427314272     
         128   345.49742478606038       0.88135840906235430     
         256   345.46358168814379        1.0004434150617352     
         512   345.53640242171309        4.8961932817320523E-002
