 Block length                 Mean                  Average
   1.00000000000000        1.85933644060553       1.353005246428925E-003
   2.00000000000000        1.85933644060552       1.345892476188347E-003
   4.00000000000000        1.85932792507644       1.346242831988202E-003
   8.00000000000000        1.85933999083223       1.357801618115807E-003
   16.0000000000000        1.85935417753817       1.451804577731356E-003
   32.0000000000000        1.85938248296262       1.425002038171021E-003
   64.0000000000000        1.85943882337754       1.520652086667192E-003
   128.000000000000        1.85955043445266       1.521972066409021E-003
   256.000000000000        1.85976947118758       1.563953110196617E-003
   512.000000000000        1.85904515458695       1.500587915257845E-003
   1024.00000000000        1.85920014164950       1.660176410639457E-003
   2048.00000000000        1.85940153249612       1.535095253557889E-003
   4096.00000000000        1.85983504448746       1.484444759360728E-003
   8192.00000000000        1.86037693447665       1.625669967552534E-003
