 Block length                 Mean                  Average
   1.00000000000000       -84.1149985897637       7.329528856226893E-002
   2.00000000000000       -84.1149985897637       9.706507874668165E-002
   4.00000000000000       -84.1141905093395       0.130214636615988     
   8.00000000000000       -84.1141182637563       0.175539196437448     
   16.0000000000000       -84.1106004810306       0.239277181424577     
   32.0000000000000       -84.1035817739629       0.325936768256937     
   64.0000000000000       -84.0896114175384       0.440680582086105     
   128.000000000000       -84.0619359646215       0.584190677229221     
   256.000000000000       -84.0076228882720       0.750894990780257     
   512.000000000000       -84.0259040895718        1.02015678954582     
   1024.00000000000       -84.0591808016441        1.23533514919012     
   2048.00000000000       -84.0826216981771        1.21423379611454     
   4096.00000000000       -83.8669916002104       0.541199725056458     
   8192.00000000000       -83.5974539777520       0.808612867375182     
