Function used for fitting: f(x)= a - b * exp(-c * x)
            a             b              c
Etot     1.91471       1.06257        0.0106467 
Epot     1.17397       0.964556       0.0217619  
Ekin     0.992461      0.158247       0.0070689
MSD      1.95455       1.81411        0.00660739
Press    0.00203546    0.00102533     0.0619548
Temp     0.00535371    0.000866393    0.00667772 

