frame    mol0    mol1
  290   7.312   5.223
  291   7.289   5.225
  292   7.273   5.312
  293   7.227   5.223
  294   7.315   5.219
  295   7.317   5.060
  296   7.328   4.965
  297   7.335   4.975
  298   7.224   5.038
  299   7.227   5.108
  300   7.223   5.099
  301   7.230   5.094
  302   7.241   4.938
  303   7.179   5.025
  304   7.243   5.017
  305   7.249   5.108
  306   7.196   5.102
  307   7.201   5.188
  308   7.141   5.108
  309   7.199   5.183
  310   7.226   5.024
  311   7.218   4.931
  312   7.265   4.931
  313   7.268   5.005
  314   7.265   5.004
  315   7.139   5.022
  316   7.303   4.932
  317   7.315   4.929
  318   7.198   4.938
  319   7.256   5.080
  320   7.221   5.083
  321   7.248   4.900
  322   7.267   5.158
  323   7.269   5.099
  324   7.209   5.187
  325   7.285   5.244
  326   7.326   5.242
  327   7.373   5.246
  328   7.356   5.247
  329   7.403   5.240
  330   7.368   5.317
  331   7.367   5.403
  332   7.380   5.402
  333   7.292   5.463
  334   7.360   5.392
  335   7.358   5.327
  336   7.290   5.370
  337   7.273   5.453
  338   7.326   5.370
  339   7.378   5.439
  340   7.312   5.373
  341   7.313   5.387
  342   7.240   5.461
  343   7.330   5.467
  344   7.321   5.549
  345   7.320   5.537
  346   7.259   5.462
  347   7.236   5.630
  348   7.221   5.630
  349   7.219   5.621
  350   7.253   5.711
  351   7.241   5.636
  352   7.233   5.639
  353   7.177   5.417
  354   7.108   5.645
  355   7.106   5.707
  356   7.183   5.495
  357   7.191   5.618
  358   7.191   5.537
  359   7.193   5.471
  360   7.175   5.469
  361   7.116   5.425
  362   7.115   5.549
  363   7.118   5.472
  364   7.176   5.474
  365   7.285   5.472
  366   7.203   5.536
  367   7.206   5.486
  368   7.251   5.548
  369   7.245   5.485
  370   7.278   5.337
  371   7.322   5.386
  372   7.251   5.383
  373   7.215   5.382
  374   7.243   5.382
  375   7.251   5.339
  376   7.196   5.355
  377   7.280   5.276
  378   7.250   5.286
  379   7.324   5.283
  380   7.314   5.282
  381   7.470   5.353
  382   7.436   5.344
  383   7.427   5.268
  384   7.448   5.346
  385   7.426   5.345
  386   7.410   5.274
  387   7.312   5.351
  388   7.428   5.433
  389   7.382   5.354
  390   7.270   5.208
  391   7.270   5.286
  392   7.352   5.287
  393   7.343   5.204
  394   7.353   5.423
  395   7.364   5.340
  396   7.364   5.406
  397   7.368   5.356
  398   7.317   5.354
  399   7.342   5.421
  400   7.329   5.315
  401   7.366   5.400
  402   7.445   5.319
  403   7.402   5.318
  404   7.381   5.307
  405   7.370   5.245
  406   7.326   5.163
  407   7.333   5.309
  408   7.416   5.452
  409   7.352   5.444
  410   7.375   5.456
  411   7.434   5.452
  412   7.430   5.451
  413   7.428   5.305
  414   7.434   5.230
  415   7.397   5.298
  416   7.430   5.443
  417   7.366   5.518
  418   7.336   5.448
  419   7.360   5.449
  420   7.354   5.521
  421   7.326   5.438
  422   7.421   5.448
  423   7.368   5.524
  424   7.466   5.379
  425   7.447   5.456
  426   7.481   5.465
  427   7.443   5.467
  428   7.576   5.382
  429   7.614   5.377
  430   7.579   5.461
  431   7.655   5.397
  432   7.665   5.244
  433   7.484   5.229
  434   7.462   5.395
  435   7.449   5.475
  436   7.459   5.556
  437   7.475   5.554
  438   7.453   5.237
  439   7.490   5.237
  440   7.435   5.293
  441   7.484   5.146
  442   7.516   5.232
  443   7.456   5.296
  444   7.484   5.299
  445   7.481   5.212
  446   7.429   5.209
  447   7.470   5.300
  448   7.453   5.381
  449   7.364   5.461
  450   7.429   5.532
