     3	 t_run(s,           2 proc) =    45.9760000000000     
     2	 t_run(s,           4 proc) =    24.3080000000000     
     2	 t_run(s,           8 proc) =    12.8760000000000     
     2	 t_run(s,          16 proc) =    7.61600000000000     
     2	 t_run(s,          32 proc) =    5.96800000000000     
     2	 t_run(s,          40 proc) =    1436.23200000000     
